source,frame,start_s,energy_selected,voiced_candidate,rms_dbfs,zcr,crest_factor_db,centroid_hz,bandwidth_hz,rolloff95_hz,flatness,spectral_entropy,flux_l2,rms_change_db,rms_std_200ms_db,band_0_300_pct,band_300_1000_pct,band_1000_2000_pct,band_2000_4000_pct,band_4000_8000_pct,f0_hz,yin_confidence
BAC009S0002W0122.wav,0,0.0,0,0,-63.814768,0.021943574,5.5469689,79.686223,274.73002,100,0.004379223,0.16545366,,,,98.6635,0.37650813,0.66832315,0.14393655,0.147732,,
BAC009S0002W0122.wav,1,0.02,0,0,-69.656353,0.097178683,5.3679547,113.89666,428.95046,150,0.010333054,0.23006043,0.27581481,-5.8415857,,98.098889,0.64059582,0.49423475,0.33163886,0.43464115,,0
BAC009S0002W0122.wav,2,0.04,0,0,-68.436701,0.02507837,8.2307016,149.85275,586.26671,850,0.024607466,0.2969259,0.36797166,1.2196528,,93.624699,3.1637951,1.9387386,0.53608755,0.73668015,,0
BAC009S0002W0122.wav,3,0.06,0,0,-66.118843,0.037617555,7.4055164,325.26467,942.02778,1650,0.054401756,0.37809413,0.41407448,2.3178575,,89.368931,1.7811406,4.4278927,2.8587156,1.5633206,,0
BAC009S0002W0122.wav,4,0.08,0,0,-65.020474,0.012539185,6.3071474,131.60374,471.29259,150,0.012575494,0.21044887,0.17296187,1.098369,,96.870477,1.3116201,0.90825334,0.4486669,0.46098306,,0
BAC009S0002W0122.wav,5,0.1,0,0,-63.018617,0.07523511,5.7738686,87.674851,305.09861,100,0.0050545863,0.19098949,0.20271653,2.0018572,,98.436833,0.76472397,0.4778218,0.13787779,0.18274315,,0
BAC009S0002W0122.wav,6,0.12,0,0,-64.131167,0.0094043887,4.4517471,116.18691,473.60924,150,0.012595275,0.21083218,0.12271683,-1.1125505,,97.641963,0.79046764,0.60962691,0.44464659,0.51329558,,0
BAC009S0002W0122.wav,7,0.14,0,0,-67.556749,0.012539185,3.6921364,114.43768,566.8328,150,0.027308439,0.21689184,0.21366078,-3.4255817,,96.60457,1.000907,1.1652694,0.54465183,0.68460168,,0
BAC009S0002W0122.wav,8,0.16,0,0,-67.130454,0.056426332,6.3638802,146.30798,520.80136,200,0.016635411,0.24997046,0.335947,0.42629541,,96.127312,1.3074838,1.5408781,0.37258022,0.65174592,,0
BAC009S0002W0122.wav,9,0.18,0,0,-62.416167,0,4.148368,115.48396,398.40759,150,0.0084647169,0.21976486,0.15946904,4.7142869,2.3076581,98.346004,0.37847936,0.69329539,0.2053325,0.37688867,,0
BAC009S0002W0122.wav,10,0.2,0,0,-68.465634,0.028213166,5.0050889,94.195723,337.21456,100,0.0066142524,0.19038216,0.25525256,-6.0494671,2.3431839,97.86521,0.85879668,0.7641419,0.26703,0.24482151,,0
BAC009S0002W0122.wav,11,0.22,0,0,-61.68679,0,4.246845,114.64942,454.79936,150,0.012117933,0.21542327,0.070994206,6.7788438,2.3853417,96.188459,2.0492774,0.98647817,0.33307054,0.44271442,,0
BAC009S0002W0122.wav,12,0.24,0,0,-62.843313,0.0094043887,4.3556069,280.70887,844.96505,1000,0.042187419,0.41280355,0.48024515,-1.1565233,2.2597447,82.508151,12.272651,2.595841,1.0188351,1.6045213,,0
BAC009S0002W0122.wav,13,0.26,0,0,-65.546299,0.018808777,8.1063543,112.42773,435.47476,150,0.010647444,0.16888791,0.70249237,-2.702986,2.2336908,96.925317,0.72559561,1.6675814,0.30022721,0.38127827,,0
BAC009S0002W0122.wav,14,0.28,0,0,-58.510923,0,3.1656852,114.53019,382.05566,150,0.0088213131,0.23055945,0.43602721,7.035376,2.9141073,96.947169,1.3015603,1.1554742,0.28170073,0.31409536,,0
BAC009S0002W0122.wav,15,0.3,0,0,-63.14706,0.028213166,5.902312,105.44018,341.97573,150,0.0085111127,0.20734665,0.082184747,-4.636137,2.909457,97.151226,1.6450748,0.65494314,0.28577229,0.2629833,,0
BAC009S0002W0122.wav,16,0.32,0,0,-58.122979,0,4.2048591,89.959385,338.9591,100,0.0063379675,0.17769576,0.14346022,5.0240814,3.4246979,98.609051,0.50870466,0.34421874,0.26887669,0.26914893,,0
BAC009S0002W0122.wav,17,0.34,0,0,-57.582954,0.015673981,3.7954517,163.55332,583.99337,350,0.022510925,0.29478792,0.20176473,0.54002471,3.560093,93.666368,3.1942706,1.3149299,1.0355055,0.78892602,,0
BAC009S0002W0122.wav,18,0.36,0,0,-63.472479,0.018808777,7.9707339,105.03901,380.12526,150,0.0085553943,0.18333503,0.17646694,-5.8895244,3.2440755,97.645301,0.95879271,0.58246056,0.49598452,0.3174615,,0
BAC009S0002W0122.wav,19,0.38,0,0,-56.776245,0,2.5908463,134.63444,419.89678,150,0.0085912701,0.21948696,0.53780585,6.6962333,3.6221276,98.174714,0.53528496,0.52473559,0.35159647,0.41366855,,0
BAC009S0002W0122.wav,20,0.4,0,0,-66.57218,0.021943574,6.6334596,88.142589,349.46698,100,0.0074715169,0.17960929,0.36542344,-9.7959341,3.2936876,98.727256,0.5682437,0.22651958,0.22808563,0.24989485,,0
BAC009S0002W0122.wav,21,0.42,0,0,-62.222944,0,4.5833142,108.50957,399.18701,150,0.0094155982,0.20871419,0.039584885,4.3492357,3.3018481,97.734538,0.66261288,0.97484568,0.25951532,0.36848802,,0
BAC009S0002W0122.wav,22,0.44,0,0,-59.02645,0.0094043887,3.202969,133.27002,545.89424,150,0.021921329,0.22234934,0.40071297,3.1964935,3.3425207,95.602053,1.9719248,1.2633201,0.58206458,0.58063747,,0
BAC009S0002W0122.wav,23,0.46,0,0,-64.938249,0.02507837,7.2986195,130.67672,467.81242,150,0.011851,0.21431783,0.31746876,-5.9117988,3.2656957,96.772788,1.1657399,1.1458922,0.4587833,0.45679623,,0
BAC009S0002W0122.wav,24,0.48,0,0,-59.199799,0,3.0422042,224.47355,792.64762,400,0.019337306,0.25813397,0.36719913,5.7384497,3.2186042,94.398592,1.8952266,1.6162169,0.75067377,1.3392904,,0
