population,feature,unit,n,p05,median,p95
all_full_frames,rms_dbfs,dBFS,87865,-65.57117389588299,-47.83768481195635,-37.1936924284115
all_full_frames,zcr,比例,87865,0.0,0.0438871473354232,0.4702194357366771
all_full_frames,crest_factor_db,dB,87865,3.749295987120013,7.197509018141458,10.847471974929338
all_full_frames,centroid_hz,Hz,87865,64.93530950727845,309.86101219104444,4160.693739321309
all_full_frames,bandwidth_hz,Hz,87865,100.01046984256976,401.1434291260832,2237.271619463267
all_full_frames,rolloff95_hz,Hz,87865,100.0,500.0,7100.0
all_full_frames,flatness,比值,87865,0.0002980807007515763,0.004804272875480982,0.14020553567615834
all_full_frames,spectral_entropy,归一化熵,87865,0.11908577975369392,0.3508413584373922,0.7498163100884971
all_full_frames,flux_l2,距离,87500,0.05269151133774237,0.23958182207777334,0.5865581028549913
all_full_frames,rms_change_db,dB,87500,-6.017731696822017,-0.20547270603282186,7.128858384691174
all_full_frames,rms_std_200ms_db,dB,84580,1.8661705940458617,3.937331138891092,8.147414508319835
all_full_frames,band_0_300_pct,%,87865,4.994240404715674,67.2831923812676,99.41174856217442
all_full_frames,band_300_1000_pct,%,87865,0.2084228328762973,14.075785390395026,81.28984684398418
all_full_frames,band_1000_2000_pct,%,87865,0.02617866387639742,0.9138457402616503,23.088141666753035
all_full_frames,band_2000_4000_pct,%,87865,0.014271436469995588,0.37798840326205535,17.082089938524355
all_full_frames,band_4000_8000_pct,%,87865,0.007598617280031989,0.20666383098178015,52.20962434997586
all_full_frames,f0_hz,Hz,25100,149.35397391207036,173.35822840625966,204.44329346418698
all_full_frames,yin_confidence,分数,87135,0.0,0.0,0.973902719633731
energy_selected_frames,rms_dbfs,dBFS,51557,-49.20902310435416,-43.60053130905552,-36.15888116270848
energy_selected_frames,zcr,比例,51557,0.006269592476489028,0.05642633228840126,0.5266457680250783
energy_selected_frames,crest_factor_db,dB,51557,4.19376618230282,7.515234329811848,10.814379723692793
energy_selected_frames,centroid_hz,Hz,51557,68.41409596745477,369.97479264703236,4554.53047917268
energy_selected_frames,bandwidth_hz,Hz,51557,80.76832410168859,409.33350438305195,2187.913285114077
energy_selected_frames,rolloff95_hz,Hz,51557,150.0,700.0,7100.0
energy_selected_frames,flatness,比值,51557,0.00018909798398271602,0.0033110086093855007,0.13030475277061246
energy_selected_frames,spectral_entropy,归一化熵,51557,0.14810822531451998,0.3750764085487459,0.749082553346196
energy_selected_frames,flux_l2,距离,51544,0.04508443596156648,0.2146628740068239,0.5363640972280536
energy_selected_frames,rms_change_db,dB,51544,-4.47446977127911,0.16075083982766003,7.50872394713705
energy_selected_frames,rms_std_200ms_db,dB,51453,1.700726424538322,3.930342158263997,9.012782872706468
energy_selected_frames,band_0_300_pct,%,51557,3.6136388424154906,45.869014067928944,99.406732120099
energy_selected_frames,band_300_1000_pct,%,51557,0.174489601263343,34.16644816203118,85.50705132316699
energy_selected_frames,band_1000_2000_pct,%,51557,0.01685231490007921,0.9601918511236618,25.81384501607364
energy_selected_frames,band_2000_4000_pct,%,51557,0.008902066527820074,0.4401908314951868,17.212856927696468
energy_selected_frames,band_4000_8000_pct,%,51557,0.004579790852725742,0.1698138190905013,58.53860551017091
energy_selected_frames,f0_hz,Hz,25100,149.35397391207036,173.35822840625966,204.44329346418698
energy_selected_frames,yin_confidence,分数,51453,0.0,0.0,0.9823802791875766
voiced_candidates,rms_dbfs,dBFS,25100,-48.25282326956503,-41.43810754726957,-35.15543516349062
voiced_candidates,zcr,比例,25100,0.0219435736677116,0.047021943573667714,0.11285266457680251
voiced_candidates,crest_factor_db,dB,25100,4.6839611546554485,6.892886411821018,9.409062785839778
voiced_candidates,centroid_hz,Hz,25100,185.69789054414562,316.6816619821795,721.479660527457
voiced_candidates,bandwidth_hz,Hz,25100,95.95635333273505,341.36047663779226,845.987376228136
voiced_candidates,rolloff95_hz,Hz,25100,250.0,450.0,1800.0
voiced_candidates,flatness,比值,25100,0.0001854611080440471,0.002121674123114491,0.01225109245547971
voiced_candidates,spectral_entropy,归一化熵,25100,0.20090230673440848,0.3292473020156713,0.5153946319373547
voiced_candidates,flux_l2,距离,25100,0.036048232811788,0.1573020292257891,0.4319476160542245
voiced_candidates,rms_change_db,dB,25100,-4.60026484899337,-0.0758225943316937,3.97754774072422
voiced_candidates,rms_std_200ms_db,dB,25097,1.5374879215331698,3.8908017784582425,9.717183259632213
voiced_candidates,band_0_300_pct,%,25100,6.760249146186408,58.28993205731828,97.7383355811932
voiced_candidates,band_300_1000_pct,%,25100,1.606386373477555,36.63772265009848,87.33835367305063
voiced_candidates,band_1000_2000_pct,%,25100,0.01714319402557436,0.5442658417158295,17.236782027431953
voiced_candidates,band_2000_4000_pct,%,25100,0.012203247407968718,0.3009907425487997,2.972364739671405
voiced_candidates,band_4000_8000_pct,%,25100,0.004786649445200768,0.11715804857421014,1.3647265048553399
voiced_candidates,f0_hz,Hz,25100,149.35397391207036,173.35822840625966,204.44329346418698
voiced_candidates,yin_confidence,分数,25100,0.8615479090720677,0.9362609326261397,0.989188205274291
